age,height,edu,fit,race_ethnicity,height_group,cluster
26,68,More than High School,fit,multiple,short,1
27,73,More than High School,fit,White,not_short,2
30,70,More than High School,fit,White,not_short,2
45,72,More than High School,fit,White,not_short,2
31,70,unknown,not_fit,White,not_short,2
27,69,High School or less,fit,Latinx,short,1
39,76,More than High School,fit,White,not_short,2
57,72,More than High School,not_fit,White,not_short,2
25,73,More than High School,not_fit,White,not_short,2
23,70,More than High School,fit,White,not_short,2
33,70,More than High School,fit,White,not_short,2
54,72,unknown,fit,White,not_short,2
32,70,More than High School,fit,White,not_short,2
26,68,More than High School,fit,Asian,short,1
50,76,More than High School,fit,White,not_short,2
38,68,More than High School,not_fit,multiple,short,1
41,69,More than High School,fit,White,short,1
46,74,More than High School,fit,White,not_short,2
41,72,More than High School,fit,White,not_short,2
38,70,More than High School,not_fit,White,not_short,2
26,71,More than High School,not_fit,White,not_short,2
35,67,More than High School,fit,multiple,short,1
52,70,More than High School,fit,White,not_short,2
26,66,More than High School,not_fit,multiple,short,1
30,72,More than High School,fit,Latinx,not_short,2
31,70,More than High School,not_fit,White,not_short,2
29,73,More than High School,not_fit,White,not_short,2
20,73,unknown,not_fit,White,not_short,2
39,72,More than High School,fit,White,not_short,2
28,73,More than High School,not_fit,White,not_short,2
28,71,More than High School,not_fit,White,not_short,2
62,67,More than High School,not_fit,Black,short,1
23,75,unknown,fit,multiple,not_short,2
31,73,High School or less,not_fit,White,not_short,2
21,71,High School or less,fit,Black,not_short,2
49,68,More than High School,not_fit,White,short,1
23,70,High School or less,not_fit,Latinx,not_short,2
25,69,More than High School,fit,White,short,1
25,70,More than High School,fit,White,not_short,2
32,68,More than High School,not_fit,Black,short,1
35,69,More than High School,fit,White,short,1
31,69,More than High School,not_fit,Latinx,short,1
26,72,More than High School,not_fit,White,not_short,2
41,64,More than High School,not_fit,Asian,short,1
37,72,unknown,not_fit,White,not_short,2
40,73,More than High School,fit,White,not_short,2
28,70,unknown,not_fit,multiple,not_short,2
26,70,More than High School,fit,White,not_short,2
27,75,More than High School,not_fit,Latinx,not_short,2
27,72,More than High School,not_fit,White,not_short,2
30,67,High School or less,not_fit,White,short,1
40,65,More than High School,fit,White,short,1
29,69,More than High School,not_fit,multiple,short,1
31,68,More than High School,fit,multiple,short,1
25,71,More than High School,not_fit,White,not_short,2
22,69,More than High School,not_fit,Asian,short,1
30,69,More than High School,fit,White,short,1
28,68,More than High School,not_fit,Latinx,short,1
30,71,unknown,fit,White,not_short,2
39,72,High School or less,not_fit,Latinx,not_short,2
38,72,More than High School,not_fit,White,not_short,2
31,69,More than High School,fit,Latinx,short,1
24,73,More than High School,fit,White,not_short,2
36,71,More than High School,fit,White,not_short,2
32,69,More than High School,fit,Asian,short,1
42,73,More than High School,fit,Latinx,not_short,2
32,69,More than High School,not_fit,White,short,1
34,76,More than High School,not_fit,White,not_short,2
30,69,More than High School,fit,Latinx,short,1
25,70,More than High School,not_fit,Asian,not_short,2
30,76,More than High School,fit,Black,not_short,2
23,67,High School or less,fit,White,short,1
27,71,More than High School,fit,White,not_short,2
23,72,More than High School,fit,multiple,not_short,2
39,72,More than High School,not_fit,White,not_short,2
27,72,More than High School,not_fit,other,not_short,2
22,68,High School or less,fit,Latinx,short,1
41,69,More than High School,not_fit,multiple,short,1
31,68,More than High School,fit,Black,short,1
39,74,unknown,fit,White,not_short,2
39,75,More than High School,not_fit,White,not_short,2
25,71,More than High School,fit,White,not_short,2
41,68,More than High School,fit,White,short,1
22,71,More than High School,fit,Latinx,not_short,2
23,70,More than High School,not_fit,White,not_short,2
32,70,unknown,not_fit,White,not_short,2
44,72,More than High School,fit,White,not_short,2
26,76,More than High School,not_fit,White,not_short,2
61,73,More than High School,not_fit,White,not_short,2
36,67,More than High School,fit,other,short,1
33,70,More than High School,fit,White,not_short,2
28,65,High School or less,fit,Latinx,short,1
36,72,More than High School,fit,multiple,not_short,2
25,70,More than High School,fit,Asian,not_short,2
28,71,More than High School,not_fit,White,not_short,2
27,72,More than High School,not_fit,White,not_short,2
30,68,More than High School,fit,multiple,short,1
27,72,More than High School,fit,White,not_short,2
34,78,More than High School,not_fit,White,not_short,2
29,71,More than High School,fit,White,not_short,2
23,68,unknown,fit,Latinx,short,1
26,68,More than High School,fit,White,short,1
49,70,More than High School,not_fit,Asian,not_short,2
26,73,More than High School,not_fit,White,not_short,2
31,70,unknown,not_fit,White,not_short,2
44,72,More than High School,fit,White,not_short,2
30,70,unknown,fit,multiple,not_short,2
23,67,High School or less,fit,White,short,1
24,67,More than High School,not_fit,Latinx,short,1
43,71,More than High School,fit,White,not_short,2
26,74,More than High School,fit,White,not_short,2
38,75,More than High School,not_fit,White,not_short,2
28,70,More than High School,not_fit,White,not_short,2
26,72,More than High School,fit,White,not_short,2
43,72,High School or less,not_fit,multiple,not_short,2
30,74,More than High School,not_fit,White,not_short,2
25,68,High School or less,not_fit,White,short,1
44,77,More than High School,not_fit,White,not_short,2
26,70,More than High School,not_fit,Asian,not_short,2
48,76,High School or less,not_fit,White,not_short,2
44,66,More than High School,not_fit,White,short,1
30,67,More than High School,not_fit,Latinx,short,1
24,70,More than High School,not_fit,White,not_short,2
27,69,More than High School,not_fit,White,short,1
24,70,More than High School,fit,Latinx,not_short,2
28,72,More than High School,fit,White,not_short,2
25,66,High School or less,not_fit,Latinx,short,1
31,74,More than High School,fit,Latinx,not_short,2
27,72,More than High School,fit,White,not_short,2
28,75,More than High School,fit,White,not_short,2
22,72,High School or less,fit,Latinx,not_short,2
32,70,More than High School,not_fit,multiple,not_short,2
31,73,High School or less,not_fit,White,not_short,2
32,74,More than High School,fit,other,not_short,2
25,71,More than High School,not_fit,White,not_short,2
28,73,More than High School,fit,White,not_short,2
25,74,High School or less,not_fit,White,not_short,2
29,71,More than High School,not_fit,White,not_short,2
38,68,High School or less,not_fit,White,short,1
36,71,More than High School,fit,other,not_short,2
26,66,unknown,fit,Latinx,short,1
37,66,More than High School,not_fit,Asian,short,1
43,70,More than High School,not_fit,White,not_short,2
22,73,High School or less,fit,White,not_short,2
26,70,More than High School,fit,Latinx,not_short,2
29,72,More than High School,not_fit,Black,not_short,2
29,68,More than High School,not_fit,White,short,1
31,66,High School or less,not_fit,Latinx,short,1
26,72,More than High School,fit,other,not_short,2
22,70,High School or less,not_fit,White,not_short,2
32,68,More than High School,fit,White,short,1
36,70,More than High School,not_fit,Black,not_short,2
25,73,More than High School,fit,White,not_short,2
18,72,High School or less,fit,multiple,not_short,2
28,75,More than High School,fit,White,not_short,2
32,67,More than High School,fit,Asian,short,1
50,69,More than High School,not_fit,White,short,1
27,71,More than High School,fit,multiple,not_short,2
25,72,More than High School,fit,Latinx,not_short,2
33,70,More than High School,fit,White,not_short,2
48,68,unknown,not_fit,White,short,1
53,74,unknown,fit,White,not_short,2
34,68,More than High School,fit,Latinx,short,1
24,75,More than High School,not_fit,White,not_short,2
27,72,More than High School,fit,Asian,not_short,2
52,71,More than High School,not_fit,Asian,not_short,2
50,74,More than High School,fit,White,not_short,2
41,70,More than High School,fit,White,not_short,2
31,74,More than High School,not_fit,White,not_short,2
47,71,More than High School,fit,White,not_short,2
33,72,High School or less,fit,White,not_short,2
27,74,More than High School,fit,White,not_short,2
41,69,More than High School,fit,White,short,1
28,70,More than High School,fit,White,not_short,2
26,66,unknown,fit,Asian,short,1
28,69,More than High School,not_fit,White,short,1
34,65,More than High School,fit,Asian,short,1
36,74,More than High School,fit,White,not_short,2
45,69,More than High School,fit,Latinx,short,1
28,72,More than High School,fit,White,not_short,2
20,74,unknown,fit,White,not_short,2
27,68,unknown,fit,White,short,1
27,70,More than High School,not_fit,White,not_short,2
29,69,More than High School,fit,Asian,short,1
59,70,More than High School,not_fit,White,not_short,2
45,68,More than High School,fit,White,short,1
29,72,High School or less,not_fit,White,not_short,2
27,72,More than High School,fit,Black,not_short,2
26,74,More than High School,not_fit,White,not_short,2
31,72,More than High School,fit,other,not_short,2
28,72,More than High School,fit,Black,not_short,2
30,74,unknown,fit,Latinx,not_short,2
43,73,More than High School,not_fit,White,not_short,2
49,72,More than High School,fit,White,not_short,2
39,66,More than High School,fit,Asian,short,1
33,73,High School or less,fit,other,not_short,2
25,73,More than High School,not_fit,Latinx,not_short,2
28,70,More than High School,not_fit,White,not_short,2
26,71,More than High School,not_fit,White,not_short,2
39,70,More than High School,fit,White,not_short,2
47,69,unknown,fit,White,short,1
43,68,More than High School,not_fit,White,short,1
30,72,More than High School,fit,White,not_short,2
46,71,More than High School,fit,Latinx,not_short,2
31,70,More than High School,not_fit,White,not_short,2
24,73,More than High School,fit,White,not_short,2
27,67,High School or less,not_fit,White,short,1
25,69,More than High School,not_fit,White,short,1
33,73,More than High School,fit,White,not_short,2
37,72,More than High School,fit,White,not_short,2
46,76,More than High School,fit,White,not_short,2
28,72,More than High School,fit,White,not_short,2
36,70,More than High School,not_fit,White,not_short,2
53,74,More than High School,fit,Black,not_short,2
30,70,More than High School,fit,Latinx,not_short,2
22,66,High School or less,fit,Latinx,short,1
29,70,unknown,fit,White,not_short,2
27,73,More than High School,fit,White,not_short,2
27,69,More than High School,fit,Asian,short,1
28,72,High School or less,not_fit,White,not_short,2
28,69,unknown,not_fit,other,short,1
28,75,More than High School,fit,White,not_short,2
44,70,unknown,fit,Latinx,not_short,2
24,74,High School or less,fit,White,not_short,2
27,70,More than High School,not_fit,White,not_short,2
43,68,More than High School,fit,White,short,1
48,67,More than High School,fit,multiple,short,1
34,73,More than High School,not_fit,White,not_short,2
51,70,More than High School,not_fit,White,not_short,2
40,72,More than High School,not_fit,White,not_short,2
35,73,More than High School,not_fit,White,not_short,2
35,73,More than High School,not_fit,White,not_short,2
22,68,High School or less,not_fit,White,short,1
39,75,More than High School,fit,multiple,not_short,2
29,72,unknown,not_fit,White,not_short,2
24,71,High School or less,not_fit,White,not_short,2
32,74,More than High School,not_fit,White,not_short,2
20,71,High School or less,not_fit,White,not_short,2
30,70,More than High School,not_fit,Asian,not_short,2
33,63,High School or less,not_fit,Asian,short,1
37,76,More than High School,fit,White,not_short,2
29,67,More than High School,not_fit,Asian,short,1
31,69,More than High School,fit,White,short,1
33,72,High School or less,not_fit,Black,not_short,2
32,68,More than High School,not_fit,Asian,short,1
29,70,More than High School,not_fit,Latinx,not_short,2
24,76,More than High School,not_fit,White,not_short,2
29,70,High School or less,not_fit,Latinx,not_short,2
23,74,More than High School,not_fit,Latinx,not_short,2
26,70,More than High School,not_fit,multiple,not_short,2
33,68,More than High School,not_fit,multiple,short,1
47,72,More than High School,fit,White,not_short,2
34,71,unknown,fit,White,not_short,2
47,75,More than High School,fit,White,not_short,2
32,72,unknown,fit,White,not_short,2
63,68,More than High School,not_fit,White,short,1
32,72,More than High School,fit,White,not_short,2
37,76,unknown,fit,White,not_short,2
30,68,unknown,not_fit,Latinx,short,1
26,73,More than High School,fit,White,not_short,2
44,74,More than High School,fit,White,not_short,2
24,71,More than High School,fit,White,not_short,2
39,69,More than High School,fit,White,short,1
35,71,More than High School,not_fit,White,not_short,2
28,65,unknown,not_fit,other,short,1
21,73,High School or less,not_fit,White,not_short,2
47,71,unknown,not_fit,White,not_short,2
24,67,More than High School,fit,White,short,1
27,68,More than High School,not_fit,Asian,short,1
30,73,More than High School,fit,White,not_short,2
37,70,High School or less,not_fit,White,not_short,2
25,73,unknown,fit,White,not_short,2
46,69,More than High School,fit,White,short,1
41,68,More than High School,not_fit,Asian,short,1
37,68,More than High School,fit,multiple,short,1
29,68,More than High School,not_fit,Asian,short,1
35,70,More than High School,fit,Latinx,not_short,2
21,69,High School or less,fit,White,short,1
28,68,More than High School,not_fit,Asian,short,1
52,72,More than High School,fit,White,not_short,2
46,71,More than High School,fit,Latinx,not_short,2
28,69,More than High School,fit,Asian,short,1
29,68,More than High School,fit,White,short,1
26,74,More than High School,not_fit,White,not_short,2
29,72,More than High School,fit,White,not_short,2
26,71,High School or less,not_fit,White,not_short,2
50,70,More than High School,fit,White,not_short,2
31,67,More than High School,not_fit,White,short,1
33,67,More than High School,fit,Asian,short,1
38,71,High School or less,not_fit,Asian,not_short,2
27,75,More than High School,not_fit,White,not_short,2
28,72,More than High School,not_fit,White,not_short,2
24,75,More than High School,fit,White,not_short,2
36,72,More than High School,fit,Asian,not_short,2
34,76,More than High School,not_fit,White,not_short,2
24,72,More than High School,fit,White,not_short,2
44,72,More than High School,not_fit,Asian,not_short,2
29,73,More than High School,fit,White,not_short,2
38,72,unknown,fit,White,not_short,2
32,69,High School or less,not_fit,White,short,1
24,66,More than High School,fit,multiple,short,1
24,70,High School or less,not_fit,White,not_short,2
35,74,High School or less,not_fit,White,not_short,2
22,70,High School or less,fit,Asian,not_short,2
24,71,More than High School,fit,White,not_short,2
33,73,More than High School,not_fit,other,not_short,2
26,67,More than High School,not_fit,White,short,1
29,72,High School or less,not_fit,White,not_short,2
23,68,High School or less,not_fit,Asian,short,1
25,68,More than High School,fit,Asian,short,1
43,68,More than High School,fit,Asian,short,1
23,72,More than High School,not_fit,White,not_short,2
39,69,More than High School,not_fit,Asian,short,1
26,69,More than High School,not_fit,White,short,1
23,69,More than High School,fit,White,short,1
38,72,More than High School,not_fit,White,not_short,2
34,69,More than High School,not_fit,White,short,1
26,72,More than High School,not_fit,Asian,not_short,2
36,68,More than High School,not_fit,Asian,short,1
30,68,More than High School,fit,White,short,1
41,73,More than High School,not_fit,White,not_short,2
25,72,More than High School,fit,White,not_short,2
27,73,High School or less,unknown,multiple,not_short,2
35,71,More than High School,not_fit,White,not_short,2
41,76,More than High School,fit,multiple,not_short,2
23,71,More than High School,not_fit,White,not_short,2
31,68,More than High School,fit,Black,short,1
28,70,More than High School,fit,other,not_short,2
27,68,More than High School,not_fit,White,short,1
22,68,High School or less,not_fit,White,short,1
28,67,High School or less,not_fit,White,short,1
30,72,More than High School,not_fit,Asian,not_short,2
42,73,More than High School,not_fit,multiple,not_short,2
23,67,High School or less,not_fit,Latinx,short,1
29,70,More than High School,fit,Asian,not_short,2
57,70,More than High School,not_fit,White,not_short,2
19,73,High School or less,not_fit,multiple,not_short,2
32,68,unknown,fit,White,short,1
36,68,More than High School,fit,multiple,short,1
26,68,More than High School,fit,Asian,short,1
40,66,More than High School,fit,Asian,short,1
30,68,More than High School,not_fit,White,short,1
24,70,High School or less,not_fit,White,not_short,2
30,74,More than High School,not_fit,White,not_short,2
27,70,More than High School,fit,White,not_short,2
31,76,More than High School,fit,White,not_short,2
24,67,More than High School,fit,Latinx,short,1
43,68,More than High School,not_fit,Asian,short,1
23,70,More than High School,fit,Latinx,not_short,2
44,70,More than High School,fit,White,not_short,2
24,66,More than High School,not_fit,White,short,1
22,77,High School or less,fit,White,not_short,2
28,74,More than High School,fit,Black,not_short,2
31,73,More than High School,fit,White,not_short,2
26,68,High School or less,fit,Asian,short,1
22,69,High School or less,not_fit,Asian,short,1
56,69,More than High School,not_fit,other,short,1
22,70,More than High School,fit,White,not_short,2
29,67,More than High School,fit,Black,short,1
33,69,More than High School,not_fit,Asian,short,1
41,70,More than High School,not_fit,White,not_short,2
54,71,More than High School,fit,White,not_short,2
22,71,More than High School,fit,White,not_short,2
27,69,More than High School,not_fit,Asian,short,1
38,68,More than High School,not_fit,White,short,1
32,70,More than High School,not_fit,White,not_short,2
31,70,More than High School,fit,White,not_short,2
29,71,More than High School,fit,Asian,not_short,2
27,64,More than High School,fit,Asian,short,1
51,69,More than High School,not_fit,White,short,1
23,67,More than High School,fit,Asian,short,1
30,68,More than High School,not_fit,Latinx,short,1
25,68,More than High School,fit,White,short,1
54,71,More than High School,not_fit,White,not_short,2
31,74,unknown,not_fit,White,not_short,2
26,71,More than High School,not_fit,Asian,not_short,2
26,71,More than High School,fit,Black,not_short,2
25,75,High School or less,fit,White,not_short,2
30,69,More than High School,not_fit,White,short,1
29,75,unknown,not_fit,White,not_short,2
45,71,More than High School,fit,White,not_short,2
23,78,High School or less,not_fit,White,not_short,2
42,69,More than High School,fit,White,short,1
26,66,unknown,not_fit,multiple,short,1
22,67,High School or less,not_fit,White,short,1
28,70,More than High School,fit,Asian,not_short,2
29,70,More than High School,fit,multiple,not_short,2
22,72,High School or less,not_fit,White,not_short,2
26,70,High School or less,not_fit,Latinx,not_short,2
24,72,More than High School,not_fit,White,not_short,2
21,67,High School or less,fit,White,short,1
24,76,More than High School,not_fit,White,not_short,2
32,74,unknown,not_fit,White,not_short,2
32,67,More than High School,not_fit,Asian,short,1
30,73,More than High School,not_fit,Asian,not_short,2
39,68,More than High School,not_fit,White,short,1
23,70,More than High School,not_fit,Asian,not_short,2
26,76,unknown,not_fit,White,not_short,2
36,69,More than High School,not_fit,White,short,1
28,67,High School or less,not_fit,Black,short,1
33,68,More than High School,fit,Asian,short,1
25,72,High School or less,fit,White,not_short,2
62,72,More than High School,fit,White,not_short,2
22,69,unknown,fit,multiple,short,1
31,66,More than High School,fit,White,short,1
31,71,unknown,not_fit,multiple,not_short,2
24,73,More than High School,fit,White,not_short,2
24,71,unknown,not_fit,Latinx,not_short,2
25,72,High School or less,not_fit,White,not_short,2
21,67,High School or less,not_fit,White,short,1
30,66,More than High School,fit,White,short,1
24,72,More than High School,not_fit,White,not_short,2
36,74,More than High School,fit,Latinx,not_short,2
30,73,unknown,not_fit,White,not_short,2
32,69,More than High School,fit,Latinx,short,1
35,71,More than High School,fit,White,not_short,2
19,75,High School or less,not_fit,White,not_short,2
27,71,More than High School,fit,White,not_short,2
32,75,High School or less,not_fit,Latinx,not_short,2
32,67,More than High School,fit,Asian,short,1
28,70,More than High School,not_fit,Asian,not_short,2
37,72,More than High School,not_fit,White,not_short,2
36,72,More than High School,fit,White,not_short,2
40,71,More than High School,not_fit,multiple,not_short,2
27,68,More than High School,not_fit,White,short,1
24,68,More than High School,not_fit,Asian,short,1
34,70,More than High School,not_fit,Asian,not_short,2
59,66,More than High School,not_fit,White,short,1
26,69,High School or less,fit,White,short,1
27,74,More than High School,fit,White,not_short,2
29,70,More than High School,fit,White,not_short,2
33,68,More than High School,fit,White,short,1
28,70,More than High School,not_fit,White,not_short,2
23,72,More than High School,not_fit,White,not_short,2
31,68,More than High School,not_fit,Asian,short,1
65,78,More than High School,not_fit,White,not_short,2
28,71,unknown,not_fit,Asian,not_short,2
42,73,More than High School,not_fit,multiple,not_short,2
32,71,unknown,not_fit,other,not_short,2
25,72,More than High School,not_fit,White,not_short,2
37,72,More than High School,fit,White,not_short,2
27,76,More than High School,not_fit,White,not_short,2
30,70,More than High School,fit,White,not_short,2
31,72,More than High School,fit,White,not_short,2
30,70,More than High School,not_fit,multiple,not_short,2
50,71,More than High School,fit,White,not_short,2
29,71,More than High School,not_fit,White,not_short,2
48,69,More than High School,fit,White,short,1
23,72,High School or less,not_fit,White,not_short,2
34,70,More than High School,fit,White,not_short,2
64,69,More than High School,fit,White,short,1
27,74,More than High School,not_fit,White,not_short,2
29,67,More than High School,fit,White,short,1
27,75,unknown,fit,White,not_short,2
27,71,unknown,not_fit,Asian,not_short,2
31,72,unknown,fit,White,not_short,2
23,67,High School or less,fit,Asian,short,1
48,77,unknown,not_fit,White,not_short,2
34,68,unknown,fit,White,short,1
26,70,unknown,not_fit,White,not_short,2
21,71,High School or less,not_fit,White,not_short,2
33,71,More than High School,not_fit,Latinx,not_short,2
29,72,More than High School,not_fit,White,not_short,2
27,69,High School or less,not_fit,White,short,1
24,69,More than High School,not_fit,White,short,1
27,70,More than High School,not_fit,multiple,not_short,2
33,63,More than High School,not_fit,Asian,short,1
33,75,More than High School,not_fit,Latinx,not_short,2
42,70,More than High School,fit,White,not_short,2
22,66,unknown,not_fit,Latinx,short,1
35,72,More than High School,fit,White,not_short,2
26,70,More than High School,not_fit,multiple,not_short,2
43,72,More than High School,fit,White,not_short,2
24,72,High School or less,fit,White,not_short,2
29,70,More than High School,fit,White,not_short,2
29,69,More than High School,fit,multiple,short,1
24,66,More than High School,fit,multiple,short,1
29,71,More than High School,fit,Asian,not_short,2
42,70,More than High School,fit,Latinx,not_short,2
31,76,High School or less,not_fit,Black,not_short,2
31,72,High School or less,not_fit,White,not_short,2
26,76,More than High School,fit,White,not_short,2
43,71,More than High School,fit,White,not_short,2
43,74,More than High School,fit,White,not_short,2
25,74,More than High School,fit,multiple,not_short,2
45,70,More than High School,fit,White,not_short,2
31,66,More than High School,fit,Latinx,short,1
25,73,More than High School,not_fit,White,not_short,2
31,68,unknown,not_fit,White,short,1
34,74,High School or less,fit,multiple,not_short,2
37,67,More than High School,fit,Asian,short,1
30,71,More than High School,not_fit,White,not_short,2
36,74,More than High School,fit,White,not_short,2
22,74,High School or less,fit,White,not_short,2
24,72,unknown,not_fit,multiple,not_short,2
27,67,More than High School,fit,other,short,1
28,69,More than High School,fit,Asian,short,1
22,67,High School or less,not_fit,Asian,short,1
42,69,More than High School,fit,White,short,1
35,74,More than High School,fit,White,not_short,2
55,72,More than High School,fit,White,not_short,2
25,71,unknown,not_fit,Latinx,not_short,2
24,71,More than High School,not_fit,White,not_short,2
19,73,High School or less,not_fit,Latinx,not_short,2
26,71,High School or less,not_fit,Latinx,not_short,2
25,67,High School or less,fit,White,short,1
37,72,More than High School,fit,White,not_short,2
27,65,More than High School,fit,White,short,1
30,69,More than High School,not_fit,White,short,1
30,72,More than High School,fit,White,not_short,2
46,70,More than High School,not_fit,White,not_short,2
35,67,More than High School,not_fit,White,short,1
29,69,More than High School,fit,Asian,short,1
22,71,High School or less,fit,White,not_short,2
42,68,unknown,not_fit,White,short,1
31,72,More than High School,fit,White,not_short,2
32,68,More than High School,not_fit,White,short,1
36,72,More than High School,not_fit,White,not_short,2
52,72,More than High School,fit,White,not_short,2
23,73,High School or less,not_fit,White,not_short,2
25,71,High School or less,fit,White,not_short,2
46,72,More than High School,not_fit,White,not_short,2
49,74,More than High School,not_fit,White,not_short,2
24,65,High School or less,not_fit,White,short,1
38,68,More than High School,not_fit,Latinx,short,1
38,70,More than High School,fit,White,not_short,2
31,75,More than High School,not_fit,White,not_short,2
23,73,More than High School,fit,White,not_short,2
31,67,unknown,fit,Latinx,short,1
40,68,More than High School,not_fit,White,short,1
49,70,More than High School,fit,White,not_short,2
36,71,More than High School,not_fit,Asian,not_short,2
36,68,More than High School,fit,White,short,1
34,67,More than High School,fit,White,short,1
33,73,More than High School,fit,Latinx,not_short,2
32,70,unknown,fit,White,not_short,2
31,70,High School or less,fit,multiple,not_short,2
36,65,More than High School,fit,Asian,short,1
32,73,High School or less,fit,White,not_short,2
69,68,More than High School,fit,Latinx,short,1
37,76,High School or less,fit,White,not_short,2
24,70,More than High School,fit,Asian,not_short,2
24,69,More than High School,not_fit,White,short,1
24,75,unknown,not_fit,multiple,not_short,2
26,66,More than High School,fit,White,short,1
32,71,More than High School,not_fit,White,not_short,2
24,76,More than High School,not_fit,White,not_short,2
24,73,High School or less,not_fit,White,not_short,2
47,67,More than High School,fit,White,short,1
25,71,More than High School,not_fit,White,not_short,2
48,69,More than High School,fit,Latinx,short,1
30,71,More than High School,not_fit,White,not_short,2
31,71,High School or less,not_fit,White,not_short,2
29,69,More than High School,not_fit,Latinx,short,1
36,74,More than High School,fit,multiple,not_short,2
25,75,More than High School,not_fit,White,not_short,2
29,75,More than High School,fit,White,not_short,2
32,69,More than High School,fit,White,short,1
22,71,High School or less,not_fit,Latinx,not_short,2
32,70,More than High School,not_fit,Latinx,not_short,2
25,73,More than High School,not_fit,White,not_short,2
26,74,High School or less,fit,Black,not_short,2
30,67,More than High School,not_fit,Latinx,short,1
48,71,More than High School,not_fit,White,not_short,2
34,73,More than High School,fit,multiple,not_short,2
25,72,High School or less,not_fit,White,not_short,2
42,74,More than High School,not_fit,White,not_short,2
24,72,More than High School,not_fit,White,not_short,2
22,73,High School or less,not_fit,White,not_short,2
27,67,More than High School,not_fit,Asian,short,1
31,74,More than High School,not_fit,White,not_short,2
32,70,More than High School,fit,White,not_short,2
23,71,High School or less,fit,White,not_short,2
41,69,More than High School,fit,White,short,1
28,69,More than High School,fit,White,short,1
31,67,More than High School,not_fit,Asian,short,1
22,71,unknown,not_fit,White,not_short,2
32,70,More than High School,not_fit,multiple,not_short,2
40,74,More than High School,fit,White,not_short,2
26,70,More than High School,fit,White,not_short,2
34,68,More than High School,fit,Asian,short,1
26,69,More than High School,unknown,White,short,1
23,66,More than High School,not_fit,White,short,1
22,70,High School or less,fit,White,not_short,2
26,71,More than High School,fit,White,not_short,2
29,75,More than High School,fit,White,not_short,2
25,71,More than High School,fit,multiple,not_short,2
24,72,More than High School,fit,White,not_short,2
42,72,More than High School,fit,White,not_short,2
22,70,More than High School,fit,White,not_short,2
25,72,More than High School,fit,Latinx,not_short,2
23,75,More than High School,fit,White,not_short,2
24,75,More than High School,fit,White,not_short,2
18,71,High School or less,fit,Black,not_short,2
26,69,More than High School,fit,White,short,1
19,73,High School or less,not_fit,Black,not_short,2
26,68,More than High School,fit,White,short,1
23,69,More than High School,not_fit,White,short,1
43,70,More than High School,not_fit,White,not_short,2
27,64,More than High School,not_fit,White,short,1
57,68,More than High School,not_fit,White,short,1
39,70,More than High School,fit,other,not_short,2
27,70,More than High School,not_fit,Asian,not_short,2
40,70,More than High School,not_fit,White,not_short,2
